"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
189,22380.38,23163.68,24727.24,25631.97,26567.37,27803.85,28932.93,30567.18,31679.03,31867.59,32965.97,33716.16,33973.65,34736.04,36918.83,38124.26,40069.18,41855.28,42272.78,41969.4,43543.89,46392.87,45401.7,43523.54,42946.68,41852.4,40857.77,37914.12,35342.11,36099.64,36099.64
190,14709.21,12526.02,11695.35,11872.31,12559.46,13254.53,14102.08,14910.19,15497.15,15464.94,15666.54,16205.93,16942.88,17886.36,18834.39,20079.91,21784.33,24136.97,25460.74,24039.66,25528.75,26168.28,26478.6,26623.35,27322.14,28719.86,29236.92,30061.55,31159.02,31927.59,30509.77
191,21813.32,19774.56,18642.18,19135.78,20091.34,21480.33,22182.21,23333.72,24151.54,25421.29,26276.94,27079.47,27994.06,28805.39,30041.81,31128.83,32812.74,34907.37,36075.47,33052.23,33350.61,33568.07,32613.49,32234.03,33093.75,33799.73,34853.04,36507.55,37984.13,38946.69,37091
192,2318,2388.82,2617.06,2645.58,2779.92,2975.28,2939.34,2832.05,2790.24,2701.37,2253.61,2018.94,1910.72,1982.68,2061.39,2122.96,2174.53,2220.38,2296.89,2301.59,2439.86,2551.26,2530.76,2594.46,2551.4,2518.65,2596.55,2663.94,2697.65,2660.98,2482.87
193,526,508.67,477.88,464.8,450.91,458.69,470.7,479.29,478.59,481.03,479.89,491.75,495.96,504.73,522.6,543.64,567.58,595.21,621,629.75,652.61,684.79,719.87,732.09,765.05,847.13,878.48,867.45,898.87,940.5,935.76
194,11260.89,10874.82,10379.98,10253.19,10338.62,10434.88,10676.1,10763.48,10645.24,10739.37,11033.86,11181.69,11449.82,11644.1,12027.08,12506,13040.98,13563.73,13811.06,13410.72,13618.73,13837.67,13946.95,14066.1,14040.83,14010.1,13897.14,13860.27,13875.94,13709.97,12665.83
195,1602.89,1679.31,1744.03,1776.87,1748.3,1804.75,1861.15,2002.99,2033.1,2039.36,2109.56,2185.04,2261.47,2369.24,2393.42,2501.96,2678.34,2905.68,3048.3,3064.4,3089.57,3379.69,3785.73,3947.2,4124.51,4187.86,4234.76,4327.78,4344.53,4185.6,4022.87
196,27543.92,28173.39,28296.26,27859.54,28388.01,29042.34,29691.1,30661.65,31876.44,33173.12,34757.62,35874.75,36337.56,36750.44,37249.77,37963.37,38858.47,39520.82,39240.4,37430.68,37319.48,36884.26,35769.46,35371.74,35968.62,37377.07,38477.58,39528.93,40256.95,40803.63,36219.94
197,3878.31,4008.14,4137.05,4376.13,4577.86,4790.35,4938.71,5225.58,5443.48,5647.56,5949.97,5816.47,5999.26,6302.22,6589.46,6944.23,7419.41,7865.37,8274.18,8507.59,9126.87,9827.62,10712.4,10990.07,11428.11,11890.52,12287.47,12584.1,12860.32,13070.13,12536.94
198,3583.49,3172.63,3627.49,3706.18,3951.21,4047.13,3916.93,4294.75,4786.48,5052.06,4503.25,3980.93,3395.86,3774.13,4485.53,4866.03,4695.99,4750.93,4965.37,5250.12,5411.07,5782.69,5985.68,6118.26,5967.07,6048.98,6438.93,6401.74,6318.21,6245.45,5394.07
199,1602.89,1679.31,1744.03,1776.87,1748.3,1804.75,1861.15,2002.99,2033.1,2039.36,2109.56,2185.04,2261.47,2369.24,2393.42,2501.96,2678.34,2905.68,3048.3,3064.4,3089.57,3379.69,3785.73,3947.2,4124.51,4187.86,4234.76,4327.78,4344.53,4185.6,4022.87
200,13888.91,13993.14,13793.65,12647.88,12865.38,12668.78,12614.01,13158.1,13294.68,12952.45,13068.21,13456.21,13670.79,14361.99,15401.52,15908.3,16635.74,17284.63,17794,18120.32,18840.37,19716.93,20020.31,20379.87,20211,19317.05,18180.6,18283.69,19005.65,19036.75,15864.55
201,34156.82,33536.01,32953.62,32086.01,33110.83,34233.7,34719.11,35764.68,37286.1,38839.43,40625.36,41103.73,41870.26,42678.28,44354.39,45440.3,47292.31,48557.38,47963.49,45492.77,47791.37,48947.44,48300.84,48462.16,49259,50928.96,51334.43,51947.95,52349.29,52850.57,50923.11
202,56329.22,55120.11,54491.9,53929.86,54181,54078.95,54106.57,55201.2,56724.51,57440.05,59389.42,59944.78,59489.75,59022.35,60271.93,61613.39,63686.25,65641.71,66598.86,64404.08,65819.74,66342.01,66440.29,66877.16,67682.69,68025.92,68663.24,69103.57,70597.29,70944.35,68752.77
203,9935.93,10304.54,10936.71,11013.48,10900.73,10777.3,10406.51,9651.39,9559.76,8703.96,8384.44,8210.84,8233.14,7639.22,7710.19,7695.2,7546.56,7412.9,7217,7201.84,7129.78,6537.57,5280.14,4509.27,3866.34,3333.84,3379.77,3544.21,3662.37,3854.55,3854.55
204,4092.86,3720.02,2592.32,2131.99,1652.51,1425.83,1170.15,1172.37,1216.43,1242.42,1324.91,1428.37,1555.95,1696.82,1837.65,1924.12,2019.17,2133.49,2255.02,2293.71,2390.02,2510.16,2637.65,2767.84,2884.2,2984.49,3113.25,3252.93,3415.32,3581.41,3657.57
